"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Ignore", "Log", "comment", "blank", "total"
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\.dockerignore", "Ignore", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\cat.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\debug.log", "Log", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\nodemon.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\package-lock.json", "JSON", 2049, 0, 0, 0, 0, 0, 1, 2050
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 44
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\APIToBot\Model\tokenValidationModel.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\APIToBot\Model\userOnServerModel.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\APIToBot\Model\userValidatedModel.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\APIToBot\Model\userValidatedOnDBModel.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\APIToBot\api.ts", "TypeScript", 0, 183, 0, 0, 0, 15, 31, 229
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\APIToUserApi\ApiBase.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\APIToUserApi\Models\GetMoneyDTO.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\APIToUserApi\Models\RegisterModel.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\APIToUserApi\MoneyController.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\APIToUserApi\RegisterController.ts", "TypeScript", 0, 10, 0, 0, 0, 1, 4, 15
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\contextMenu\helloUser.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 3, 18
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\Admin\adminList.ts", "TypeScript", 0, 15, 0, 0, 0, 181, 1, 197
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\Admin\adminMoney.ts", "TypeScript", 0, 18, 0, 0, 0, 122, 1, 141
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\Admin\adminhelp.ts", "TypeScript", 0, 13, 0, 0, 0, 169, 1, 183
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\Admin\sendMessage.ts", "TypeScript", 0, 17, 0, 0, 0, 75, 1, 93
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\createEmbed.ts", "TypeScript", 0, 0, 0, 0, 0, 196, 9, 205
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\endGame.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 4, 64
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\game.ts", "TypeScript", 0, 0, 0, 0, 0, 102, 13, 115
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\getChannel.ts", "TypeScript", 0, 0, 0, 0, 0, 116, 14, 130
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\getCommandLogs.ts", "TypeScript", 0, 0, 0, 0, 0, 63, 7, 70
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\getRawMessage.ts", "TypeScript", 0, 34, 0, 0, 0, 39, 1, 74
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\immatriculation.ts", "TypeScript", 0, 0, 0, 0, 0, 109, 11, 120
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\inscriptionPermis.ts", "TypeScript", 0, 0, 0, 0, 0, 88, 8, 96
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\purge.ts", "TypeScript", 0, 14, 0, 0, 0, 49, 1, 64
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\register.ts", "TypeScript", 0, 23, 0, 0, 0, 45, 1, 69
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\role.ts", "TypeScript", 0, 0, 0, 0, 0, 81, 6, 87
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\test.ts", "TypeScript", 0, 13, 0, 0, 0, 43, 1, 57
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\up.ts", "TypeScript", 0, 13, 0, 0, 0, 27, 1, 41
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\updateMessage.ts", "TypeScript", 0, 48, 0, 0, 0, 42, 1, 91
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\ventePerso.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 5, 65
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\inDev\ventePro.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 5, 65
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\misc\help.ts", "TypeScript", 0, 16, 0, 0, 0, 159, 1, 176
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\misc\money.ts", "TypeScript", 0, 19, 0, 0, 0, 65, 1, 85
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\misc\number.ts", "TypeScript", 0, 11, 0, 0, 0, 71, 1, 83
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\commands\slashCommand\misc\ping.ts", "TypeScript", 0, 10, 0, 0, 0, 32, 1, 43
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\index.ts", "TypeScript", 0, 51, 0, 0, 0, 6, 4, 61
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\buttons\Register.ts", "TypeScript", 0, 63, 0, 0, 0, 5, 8, 76
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\buttons\VenteCarCancel.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 6, 35
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\buttons\VentePersoCarAchat.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 7, 45
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\buttons\VentePersoCarVendre.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 6, 42
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\buttons\VenteProCarVendre.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 7, 41
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\buttons\getGameRole.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 3, 24
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\buttons\immatriculationBuy.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 7, 36
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\buttons\immatriculationCancel.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 6, 34
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\buttons\immatriculationReload.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 6, 31
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\buttons\permisFail.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 5, 36
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\buttons\permisOk.ts", "TypeScript", 0, 0, 0, 0, 0, 39, 5, 44
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\selectMenu\ventePersoCarMenu.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 7, 53
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\selectMenu\ventePersoCarMenuVendre.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 7, 55
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\interactions\selectMenu\venteProCarMenu.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 7, 53
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\adminCommandLog.ts", "TypeScript", 0, 71, 0, 0, 0, 4, 7, 82
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\clientReady.ts", "TypeScript", 0, 31, 0, 0, 0, 1, 5, 37
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\commandLog.ts", "TypeScript", 0, 74, 0, 0, 0, 5, 6, 85
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\deletePinnedMessageAlerte.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\guildBanAdd.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\guildBanRemove.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\guildMemberAdd.ts", "TypeScript", 0, 30, 0, 0, 0, 1, 4, 35
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\guildMemberRemove.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\inviteCreate.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 5, 52
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\inviteDelete.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 5, 52
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\messageDeleteBulk.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 5, 42
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\roleCreate.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 5, 51
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\roleDelete.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 5, 51
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\userMissingPermission.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 6, 50
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\tools\export.ts", "TypeScript", 0, 95, 0, 0, 0, 18, 17, 130
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\tools\language.json", "JSON", 1032, 0, 0, 0, 0, 0, 0, 1032
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\type.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\util\appConfig.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 37
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\util\channelGame.json", "JSON", 1212, 0, 0, 0, 0, 0, 51, 1263
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\util\customEmbed.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\tsconfig.json", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 21
"Total", "-", 4379, 1324, 21, 1, 4, 2575, 370, 8674